timestamp, power.draw [W]
2026/07/17 17:39:56.467, 60.13 W
2026/07/17 17:39:57.467, 60.48 W
2026/07/17 17:39:58.467, 60.31 W
2026/07/17 17:39:59.467, 60.26 W
2026/07/17 17:40:00.467, 60.18 W
2026/07/17 17:40:01.467, 60.66 W
2026/07/17 17:40:02.467, 60.43 W
2026/07/17 17:40:03.467, 60.07 W
2026/07/17 17:40:04.467, 60.04 W
2026/07/17 17:40:05.468, 60.38 W
2026/07/17 17:40:06.468, 60.42 W
2026/07/17 17:40:07.468, 60.09 W
2026/07/17 17:40:08.468, 60.07 W
2026/07/17 17:40:09.468, 60.33 W
2026/07/17 17:40:10.468, 60.30 W
2026/07/17 17:40:11.468, 60.43 W
2026/07/17 17:40:12.468, 60.23 W
2026/07/17 17:40:13.469, 60.26 W
2026/07/17 17:40:14.469, 60.14 W
2026/07/17 17:40:15.469, 60.15 W
2026/07/17 17:40:16.469, 60.05 W
2026/07/17 17:40:17.469, 60.14 W
2026/07/17 17:40:18.469, 60.32 W
2026/07/17 17:40:19.469, 60.57 W
2026/07/17 17:40:20.470, 60.43 W
2026/07/17 17:40:21.470, 60.41 W
2026/07/17 17:40:22.470, 60.42 W
2026/07/17 17:40:23.470, 60.33 W
2026/07/17 17:40:24.470, 59.97 W
2026/07/17 17:40:25.470, 60.01 W
2026/07/17 17:40:26.470, 60.56 W
2026/07/17 17:40:27.471, 60.35 W
2026/07/17 17:40:28.471, 60.23 W
2026/07/17 17:40:29.471, 60.40 W
2026/07/17 17:40:30.471, 60.46 W
2026/07/17 17:40:31.471, 60.48 W
2026/07/17 17:40:32.471, 60.33 W
2026/07/17 17:40:33.471, 60.43 W
2026/07/17 17:40:34.471, 60.42 W
2026/07/17 17:40:35.472, 59.80 W
2026/07/17 17:40:36.472, 60.05 W
2026/07/17 17:40:37.472, 60.38 W
2026/07/17 17:40:38.472, 60.22 W
2026/07/17 17:40:39.472, 59.85 W
2026/07/17 17:40:40.472, 60.21 W
2026/07/17 17:40:41.472, 60.10 W
2026/07/17 17:40:42.472, 59.97 W
2026/07/17 17:40:43.473, 60.28 W
2026/07/17 17:40:44.473, 60.35 W
2026/07/17 17:40:45.473, 59.95 W
2026/07/17 17:40:46.473, 60.13 W
2026/07/17 17:40:47.473, 60.54 W
2026/07/17 17:40:48.473, 60.37 W
2026/07/17 17:40:49.473, 59.93 W
2026/07/17 17:40:50.473, 60.31 W
2026/07/17 17:40:51.473, 60.48 W
2026/07/17 17:40:52.474, 59.80 W
2026/07/17 17:40:53.474, 60.14 W
2026/07/17 17:40:54.474, 60.25 W
2026/07/17 17:40:55.474, 60.55 W
2026/07/17 17:40:56.474, 60.19 W
2026/07/17 17:40:57.474, 60.16 W
2026/07/17 17:40:58.474, 59.89 W
2026/07/17 17:40:59.474, 60.53 W
2026/07/17 17:41:00.475, 60.37 W
2026/07/17 17:41:01.475, 60.28 W
2026/07/17 17:41:02.475, 60.22 W
2026/07/17 17:41:03.475, 60.42 W
2026/07/17 17:41:04.475, 60.21 W
2026/07/17 17:41:05.476, 59.98 W
2026/07/17 17:41:06.476, 60.57 W
2026/07/17 17:41:07.476, 60.23 W
2026/07/17 17:41:08.476, 60.09 W
2026/07/17 17:41:09.476, 59.87 W
2026/07/17 17:41:10.476, 60.27 W
2026/07/17 17:41:11.476, 60.23 W
2026/07/17 17:41:12.477, 59.90 W
2026/07/17 17:41:13.477, 59.65 W
2026/07/17 17:41:14.477, 60.16 W
2026/07/17 17:41:15.477, 60.22 W
2026/07/17 17:41:16.477, 60.01 W
2026/07/17 17:41:17.477, 60.16 W
2026/07/17 17:41:18.478, 60.31 W
2026/07/17 17:41:19.478, 60.28 W
2026/07/17 17:41:20.478, 60.27 W
2026/07/17 17:41:21.478, 60.29 W
2026/07/17 17:41:22.478, 60.15 W
2026/07/17 17:41:23.478, 60.20 W
2026/07/17 17:41:24.479, 60.28 W
2026/07/17 17:41:25.479, 60.03 W
2026/07/17 17:41:26.479, 59.86 W
2026/07/17 17:41:27.479, 59.89 W
2026/07/17 17:41:28.479, 60.30 W
2026/07/17 17:41:29.479, 60.23 W
2026/07/17 17:41:30.479, 60.17 W
2026/07/17 17:41:31.480, 60.06 W
2026/07/17 17:41:32.480, 60.18 W
