timestamp, power.draw [W]
2026/07/24 12:15:01.740, 60.09 W
2026/07/24 12:15:02.740, 60.31 W
2026/07/24 12:15:03.740, 60.12 W
2026/07/24 12:15:04.740, 60.06 W
2026/07/24 12:15:05.740, 59.96 W
2026/07/24 12:15:06.740, 60.15 W
2026/07/24 12:15:07.740, 60.24 W
2026/07/24 12:15:08.740, 60.09 W
2026/07/24 12:15:09.740, 60.17 W
2026/07/24 12:15:10.741, 60.17 W
2026/07/24 12:15:11.741, 60.17 W
2026/07/24 12:15:12.741, 60.38 W
2026/07/24 12:15:13.741, 60.35 W
2026/07/24 12:15:14.741, 60.28 W
2026/07/24 12:15:15.741, 59.87 W
2026/07/24 12:15:16.741, 60.44 W
2026/07/24 12:15:17.741, 60.37 W
2026/07/24 12:15:18.742, 59.88 W
2026/07/24 12:15:19.742, 60.41 W
2026/07/24 12:15:20.742, 60.28 W
2026/07/24 12:15:21.742, 59.80 W
2026/07/24 12:15:22.742, 59.98 W
2026/07/24 12:15:23.742, 60.12 W
2026/07/24 12:15:24.742, 60.07 W
2026/07/24 12:15:25.742, 60.24 W
2026/07/24 12:15:26.742, 60.02 W
2026/07/24 12:15:27.742, 60.00 W
2026/07/24 12:15:28.743, 60.40 W
2026/07/24 12:15:29.743, 59.98 W
2026/07/24 12:15:30.743, 60.04 W
2026/07/24 12:15:31.743, 60.26 W
2026/07/24 12:15:32.743, 60.72 W
2026/07/24 12:15:33.743, 60.04 W
2026/07/24 12:15:34.743, 59.95 W
2026/07/24 12:15:35.743, 60.45 W
2026/07/24 12:15:36.743, 60.05 W
2026/07/24 12:15:37.744, 60.40 W
2026/07/24 12:15:38.744, 60.27 W
2026/07/24 12:15:39.744, 60.06 W
2026/07/24 12:15:40.744, 60.00 W
2026/07/24 12:15:41.744, 60.22 W
2026/07/24 12:15:42.744, 60.21 W
2026/07/24 12:15:43.744, 60.12 W
2026/07/24 12:15:44.744, 60.00 W
2026/07/24 12:15:45.744, 60.11 W
2026/07/24 12:15:46.744, 59.97 W
2026/07/24 12:15:47.745, 60.39 W
2026/07/24 12:15:48.745, 60.14 W
2026/07/24 12:15:49.745, 59.88 W
2026/07/24 12:15:50.745, 60.13 W
2026/07/24 12:15:51.745, 60.24 W
2026/07/24 12:15:52.745, 59.98 W
2026/07/24 12:15:53.745, 60.23 W
2026/07/24 12:15:54.745, 60.29 W
2026/07/24 12:15:55.745, 60.35 W
2026/07/24 12:15:56.745, 60.40 W
2026/07/24 12:15:57.746, 60.27 W
2026/07/24 12:15:58.746, 60.27 W
2026/07/24 12:15:59.746, 60.26 W
2026/07/24 12:16:00.746, 59.84 W
2026/07/24 12:16:01.746, 60.14 W
2026/07/24 12:16:02.746, 60.13 W
2026/07/24 12:16:03.746, 60.31 W
2026/07/24 12:16:04.746, 60.33 W
2026/07/24 12:16:05.746, 60.17 W
2026/07/24 12:16:06.747, 60.28 W
2026/07/24 12:16:07.747, 60.29 W
2026/07/24 12:16:08.747, 60.35 W
2026/07/24 12:16:09.747, 60.30 W
2026/07/24 12:16:10.747, 60.05 W
2026/07/24 12:16:11.747, 60.15 W
2026/07/24 12:16:12.747, 60.50 W
2026/07/24 12:16:13.747, 60.29 W
2026/07/24 12:16:14.747, 60.17 W
2026/07/24 12:16:15.748, 60.17 W
2026/07/24 12:16:16.748, 59.85 W
2026/07/24 12:16:17.748, 60.04 W
2026/07/24 12:16:18.748, 60.31 W
2026/07/24 12:16:19.748, 60.09 W
2026/07/24 12:16:20.748, 60.29 W
2026/07/24 12:16:21.748, 60.26 W
2026/07/24 12:16:22.748, 60.23 W
2026/07/24 12:16:23.748, 59.83 W
2026/07/24 12:16:24.749, 59.86 W
2026/07/24 12:16:25.749, 60.20 W
2026/07/24 12:16:26.749, 60.16 W
2026/07/24 12:16:27.749, 60.23 W
2026/07/24 12:16:28.749, 60.14 W
2026/07/24 12:16:29.749, 60.23 W
2026/07/24 12:16:30.749, 60.16 W
2026/07/24 12:16:31.749, 59.98 W
2026/07/24 12:16:32.749, 60.14 W
2026/07/24 12:16:33.749, 60.29 W
2026/07/24 12:16:34.749, 60.18 W
2026/07/24 12:16:35.749, 59.87 W
2026/07/24 12:16:36.749, 59.95 W
2026/07/24 12:16:37.750, 59.77 W
2026/07/24 12:16:38.750, 59.97 W
2026/07/24 12:16:39.750, 60.26 W
2026/07/24 12:16:40.750, 60.57 W
2026/07/24 12:16:41.750, 59.90 W
2026/07/24 12:16:42.750, 60.06 W
2026/07/24 12:16:43.750, 60.08 W
2026/07/24 12:16:44.750, 59.98 W
2026/07/24 12:16:45.750, 60.09 W
2026/07/24 12:16:46.750, 59.92 W
2026/07/24 12:16:47.751, 60.32 W
2026/07/24 12:16:48.751, 60.25 W
2026/07/24 12:16:49.751, 60.04 W
